timestamp,host,cpu_util,mem_util,temp_cpu,net_in_bytes,net_out_bytes,tcp_conn,user_active,usb_event,usb_device,anomaly
2025-08-21T13:24:25,nanema-HP,5.9,26.1,45.0,1474050281.0,27307082.0,17,1,0,,0
2025-08-21T13:24:32,nanema-HP,0.4,25.8,48.0,1474050881.0,27307736.0,17,1,0,,0
2025-08-21T13:24:38,nanema-HP,1.4,25.8,48.0,1474055288.0,27311871.0,17,1,0,,0
2025-08-21T13:24:44,nanema-HP,0.8,25.7,48.0,1474056625.0,27313116.0,17,1,0,,0
2025-08-21T13:24:50,nanema-HP,0.8,25.7,44.0,1474057225.0,27313716.0,17,1,0,,0
2025-08-21T13:24:56,nanema-HP,0.9,25.7,44.0,1474058436.0,27314316.0,17,1,0,,0
2025-08-21T13:25:02,nanema-HP,0.7,25.8,44.0,1474059380.0,27315258.0,17,1,0,,0
2025-08-21T13:25:08,nanema-HP,0.6,25.8,44.0,1474060675.0,27316183.0,17,1,0,,0
2025-08-21T13:25:15,nanema-HP,0.4,25.7,44.0,1474061261.0,27316761.0,17,1,0,,0
2025-08-21T13:25:21,nanema-HP,0.9,25.8,44.0,1474061861.0,27317361.0,17,1,0,,0
2025-08-21T13:25:27,nanema-HP,0.4,25.7,44.0,1474063001.0,27318417.0,17,1,0,,0
2025-08-21T13:25:33,nanema-HP,1.0,25.8,44.0,1474063838.0,27322494.0,17,1,0,,0
2025-08-21T13:25:39,nanema-HP,1.1,25.9,44.0,1474064480.0,27329312.0,17,1,0,,0
2025-08-21T13:25:45,nanema-HP,0.4,25.8,44.0,1474065487.0,27330315.0,17,1,0,,0
2025-08-21T13:25:51,nanema-HP,0.6,26.3,44.0,1474066087.0,27330915.0,17,1,0,,0
2025-08-21T13:25:58,nanema-HP,0.5,25.8,44.0,1474066931.0,27331757.0,17,1,0,,0
2025-08-21T13:26:04,nanema-HP,1.2,25.9,44.0,1474085126.0,27342821.0,17,1,0,,0
2025-08-21T13:26:10,nanema-HP,0.4,25.8,43.0,1474086187.0,27344234.0,17,1,0,,0
2025-08-21T13:26:16,nanema-HP,1.7,25.9,43.0,1474086873.0,27344912.0,17,1,0,,0
2025-08-21T13:26:22,nanema-HP,2.1,25.9,43.0,1474087473.0,27345512.0,17,1,0,,0
2025-08-21T13:41:03,nanema-HP,3.0,26.3,44.0,1481104338.0,28585054.0,15,1,0,,0
2025-08-21T13:41:09,nanema-HP,0.7,26.2,44.0,1481105808.0,28585654.0,15,1,0,,0
2025-08-21T13:41:15,nanema-HP,0.7,26.4,45.0,1481106752.0,28586596.0,15,1,0,,0
2025-08-21T13:41:22,nanema-HP,2.6,26.5,45.0,1481107352.0,28587196.0,15,1,0,,0
2025-08-21T13:41:28,nanema-HP,2.8,26.5,45.0,1481108418.0,28591419.0,15,1,-1,Device('/sys/devices/pci0000:00/0000:00:14.0/usb3/3-2/3-2:1.0'),0
2025-08-21T13:41:34,nanema-HP,0.7,26.4,45.0,1481110566.0,28592339.0,15,1,-1,Device('/sys/devices/pci0000:00/0000:00:14.0/usb3/3-2'),0
2025-08-21T13:41:40,nanema-HP,1.9,26.5,45.0,1481111333.0,28599115.0,15,1,1,Device('/sys/devices/pci0000:00/0000:00:14.0/usb3/3-2'),0
