cpu_util,mem_util,temp_cpu,net_in_bytes,net_out_bytes,tcp_conn,user_active,usb_event,anomaly,timestamp,host
87.23177021490396,85.09864982344013,93.62213311996038,5016029021.663361,2994148708.723652,315,4,3,1,2025-01-01 00:20:10,simulated
74.97989634937016,77.59585177653237,87.13322936514678,1229049197.1737473,4480885417.045259,371,2,0,1,2025-01-01 00:56:10,simulated
90.39098984457951,96.42419912671141,86.35842788062529,3160250959.729627,3775245008.7337155,137,1,1,1,2025-01-01 00:56:40,simulated
99.89338777847992,79.78476373498239,98.70534083336042,2595703909.648781,1859587371.8344755,138,3,0,1,2025-01-01 00:43:20,simulated
89.61707699005468,92.64781295699369,88.16416778600303,6607630881.288884,4493009036.786568,264,1,3,1,2025-01-01 00:01:50,simulated
96.53229369036586,91.65837398685844,97.53364445074274,3090211725.801545,9336884844.533264,388,3,2,1,2025-01-01 00:46:20,simulated
70.63362628039772,85.57151088723518,81.89613861750485,1689378409.7441158,1470048592.2956169,256,4,1,1,2025-01-01 00:37:40,simulated
70.28995144440385,76.70849921665612,83.09545953476241,2295658314.091861,7792004335.294791,496,4,0,1,2025-01-01 00:18:50,simulated
84.3352752590656,70.1737052758427,97.79303613932396,1309230433.6097674,1783328966.7108135,168,4,4,1,2025-01-01 01:16:30,simulated
1.9922586057435265,35.18730167894374,44.9428005659354,592946982.2922758,976828032.0362293,4,0,1,0,2025-01-01 00:22:40,simulated
97.43485605074096,86.66387672471222,93.27930557092746,8009847427.304957,7533744678.721009,286,1,1,1,2025-01-01 01:08:30,simulated
7.6034682633318855,22.89371929830886,47.10411594916273,342123482.49122185,473777752.4351289,17,0,1,0,2025-01-01 00:12:40,simulated
83.91175629553052,97.436724947219,95.6347760702766,4266149016.2746964,3242808491.812538,234,2,3,1,2025-01-01 00:39:20,simulated
75.45141227245001,70.34384897016669,81.74238651293558,1275565261.6961524,9793574865.107761,363,3,1,1,2025-01-01 01:35:30,simulated
70.42962923311794,98.59635753144985,95.22104989250934,2099329565.9726567,1464418970.5848439,125,4,3,1,2025-01-01 01:29:40,simulated
84.72831426761186,91.04801942358084,81.67879084173198,3036228389.070492,1946964346.9203362,329,2,3,1,2025-01-01 01:23:10,simulated
5.122345274731743,39.13568704837938,54.731687063455325,494881454.3260916,721615374.124068,15,0,0,0,2025-01-01 00:46:40,simulated
82.07657476007046,79.36074160301452,80.19878704236227,2256396821.226884,8903947366.017551,400,1,1,1,2025-01-01 01:20:30,simulated
95.11845443653417,71.17482884447026,98.76358220816871,7044660715.893882,6197648343.6601715,237,3,1,1,2025-01-01 01:00:10,simulated
16.341603983743866,30.53057297392052,56.63074185425066,471704185.2820183,525181209.35711,14,1,1,0,2025-01-01 00:53:10,simulated
96.50124282620462,79.51238259005237,81.69871993788607,1533850992.9433467,8182973194.332419,451,3,4,1,2025-01-01 00:24:50,simulated
13.565747531510171,49.45493325278011,58.76040473939659,645007077.3270748,458326631.5784279,7,0,0,0,2025-01-01 00:29:00,simulated
14.477582025191554,49.09391548441657,52.376406342773365,459013273.2722683,284065914.8575883,19,1,1,0,2025-01-01 01:01:50,simulated
76.48804762119468,71.69615566897585,90.58367627827438,4618703891.625315,2889387237.991281,447,3,4,1,2025-01-01 00:21:10,simulated
14.072507800066303,35.482419729160334,41.01818875167968,684133827.2795796,154097285.86714238,2,0,0,0,2025-01-01 00:35:00,simulated
6.2710168476785455,45.56455598530327,48.919927290603404,162320418.01677114,192305953.5686471,35,1,0,0,2025-01-01 00:39:10,simulated
15.645629369345492,40.27625614685488,57.07378682620133,891489796.9694229,314563174.06887984,15,0,0,0,2025-01-01 00:16:50,simulated
83.55793024306692,93.92105590920784,84.13706998279525,2172520250.4501104,3126152774.1488113,108,4,1,1,2025-01-01 01:37:40,simulated
84.47005908733202,81.50444850976181,97.74220575904589,9246451511.7457,2833105943.678382,377,4,3,1,2025-01-01 01:23:40,simulated
73.08393908284782,73.49626260484098,82.76210044644773,2770526473.754282,9485800260.791388,114,4,1,1,2025-01-01 01:31:10,simulated
1.4100263744151076,28.05222830983906,46.8256719954062,878444817.9198998,650483865.496275,25,0,0,0,2025-01-01 00:57:40,simulated
6.122463264399025,22.558550662861386,57.197270345213354,601626317.4278172,214708212.16826645,20,1,1,0,2025-01-01 00:23:10,simulated
95.86295785424228,77.26308583229101,80.65323991724503,3726069048.3249536,6069646145.750926,364,2,2,1,2025-01-01 00:36:50,simulated
79.94684563049034,72.04829702313192,83.89596832288883,4010820693.7302275,3189661246.051275,370,3,1,1,2025-01-01 00:16:30,simulated
17.151910162469832,35.243300066084906,56.283745891190634,909665530.6624295,651020373.689296,42,0,1,0,2025-01-01 01:01:40,simulated
2.43702588432833,33.80275549448635,44.17921120391783,503584328.2712387,696837950.6598276,13,1,0,0,2025-01-01 00:33:00,simulated
72.89062384493435,76.8608378445529,85.54509594472005,2310096235.805018,5537183062.483814,446,1,2,1,2025-01-01 00:47:50,simulated
