timestamp,host,cpu_util,mem_util,temp_cpu,net_in_bytes,net_out_bytes,tcp_conn,user_active,usb_event,usb_device,anomaly
2025-08-21T13:24:25,nanema-HP,5.9,26.1,45.0,1474050281,27307082,17,1,0,,0
2025-08-21T13:24:32,nanema-HP,0.4,25.8,48.0,1474050881,27307736,17,1,0,,0
2025-08-21T13:24:38,nanema-HP,1.4,25.8,48.0,1474055288,27311871,17,1,0,,0
2025-08-21T13:24:44,nanema-HP,0.8,25.7,48.0,1474056625,27313116,17,1,0,,0
2025-08-21T13:24:50,nanema-HP,0.8,25.7,44.0,1474057225,27313716,17,1,0,,0
2025-08-21T13:24:56,nanema-HP,0.9,25.7,44.0,1474058436,27314316,17,1,0,,0
2025-08-21T13:25:02,nanema-HP,0.7,25.8,44.0,1474059380,27315258,17,1,0,,0
2025-08-21T13:25:08,nanema-HP,0.6,25.8,44.0,1474060675,27316183,17,1,0,,0
2025-08-21T13:25:15,nanema-HP,0.4,25.7,44.0,1474061261,27316761,17,1,0,,0
2025-08-21T13:25:21,nanema-HP,0.9,25.8,44.0,1474061861,27317361,17,1,0,,0
2025-08-21T13:25:27,nanema-HP,0.4,25.7,44.0,1474063001,27318417,17,1,0,,0
2025-08-21T13:25:33,nanema-HP,1.0,25.8,44.0,1474063838,27322494,17,1,0,,0
2025-08-21T13:25:39,nanema-HP,1.1,25.9,44.0,1474064480,27329312,17,1,0,,0
2025-08-21T13:25:45,nanema-HP,0.4,25.8,44.0,1474065487,27330315,17,1,0,,0
2025-08-21T13:25:51,nanema-HP,0.6,26.3,44.0,1474066087,27330915,17,1,0,,0
2025-08-21T13:25:58,nanema-HP,0.5,25.8,44.0,1474066931,27331757,17,1,0,,0
2025-08-21T13:26:04,nanema-HP,1.2,25.9,44.0,1474085126,27342821,17,1,0,,0
2025-08-21T13:26:10,nanema-HP,0.4,25.8,43.0,1474086187,27344234,17,1,0,,0
2025-08-21T13:26:16,nanema-HP,1.7,25.9,43.0,1474086873,27344912,17,1,0,,0
2025-08-21T13:26:22,nanema-HP,2.1,25.9,43.0,1474087473,27345512,17,1,0,,0
2025-08-21T13:41:03,nanema-HP,3.0,26.3,44.0,1481104338,28585054,15,1,0,,0
2025-08-21T13:41:09,nanema-HP,0.7,26.2,44.0,1481105808,28585654,15,1,0,,0
2025-08-21T13:41:15,nanema-HP,0.7,26.4,45.0,1481106752,28586596,15,1,0,,0
2025-08-21T13:41:22,nanema-HP,2.6,26.5,45.0,1481107352,28587196,15,1,0,,0
2025-08-21T13:41:28,nanema-HP,2.8,26.5,45.0,1481108418,28591419,15,1,-1,Device('/sys/devices/pci0000:00/0000:00:14.0/usb3/3-2/3-2:1.0'),0
2025-08-21T13:41:34,nanema-HP,0.7,26.4,45.0,1481110566,28592339,15,1,-1,Device('/sys/devices/pci0000:00/0000:00:14.0/usb3/3-2'),0
