score,anomaly_pred
0.12909936581228443,1
0.13720869301767674,1
0.14096099926406636,1
0.14032685663702804,1
0.1435449141098432,1
0.14464921153930654,1
0.14523445775859495,1
0.1442970157886066,1
0.14114604328870478,1
0.14668082984008357,1
0.14114604328870478,1
0.1454716237305954,1
0.1463570991518382,1
0.14331837333552155,1
0.1496877020537249,1
0.14384346927698088,1
0.1461950204072805,1
0.14501521958775815,1
0.14617646105095344,1
0.14416886845621313,1
0.15052714890410612,1
0.15584546429352664,1
0.15596595257951484,1
0.15356310466634532,1
0.06606987335162617,1
0.06915533489703768,1
0.1017020475928101,1
0.10366429338071748,1
0.14432663955807412,1
0.15589494536894338,1
0.15141257710835831,1
0.1570675713485331,1
0.1445654259758561,1
0.14842104152002733,1
0.1593102574436851,1
0.157313133720617,1
0.15479397373230502,1
0.15252145442084125,1
0.07031548183393771,1
0.06845674334149754,1
0.15603168088278313,1
0.1544901237194939,1
0.10118168171195552,1
0.10118168171195552,1
0.1568655758402388,1
0.1560620241997816,1
0.1579333336829753,1
0.15603168088278313,1
0.15428266288058184,1
0.15180720252416025,1
0.15636533460304358,1
0.15686592967577656,1
0.15686592967577656,1
0.15142772062360033,1
0.15467364420822427,1
0.15256537203050502,1
0.1573241102251462,1
0.15603168088278313,1
0.15708815919202218,1
0.15686592967577656,1
0.14876591771163405,1
0.15708815919202218,1
0.15781919475234418,1
0.15690695844011154,1
0.1485906629731491,1
0.15603168088278313,1
0.1562544506971854,1
0.15541585867416646,1
0.14596685819682392,1
0.1559641706762377,1
0.15350075051982986,1
0.15515850812662285,1
0.1532681611720209,1
0.15292469653238377,1
0.15265832009495595,1
0.15432010814466357,1
0.15276673973629634,1
0.11612888848479264,1
0.1477190313496115,1
0.14863967815123919,1
0.1434538519911504,1
0.14529953050675992,1
0.15216302919233704,1
0.11556510513786628,1
0.12197138263250207,1
0.10547501684894839,1
0.1340253830270417,1
0.14841870832831405,1
0.15245159605981212,1
0.15245159605981212,1
0.1526539240914051,1
0.14071366568025873,1
0.15568032877190058,1
0.15539384903843068,1
0.15562422330824777,1
0.15539384903843068,1
0.1557344904918868,1
0.15572007157476264,1
0.1512012142530531,1
0.14560103760834964,1
0.15245159605981212,1
0.15240449686536883,1
0.15587010759421377,1
0.15143174615086813,1
0.15630375078625475,1
0.15553597303092287,1
0.14825611877198286,1
0.12486093696947648,1
0.12229573367238539,1
